208.90.189.82 cityofithaca.org
142.250.186.70 11443212.fls.doubleclick.net
120.53.71.88 en.uniview.com
131.193.32.108 cr.yp.to
185.53.177.52 miller-mccune.com
13.225.77.160 g-ecx.images-amazon.com
142.250.185.230 9080544.fls.doubleclick.net
199.34.228.53 slotmitosbet27.weebly.com
208.91.197.39 heebmagazine.com
44.239.50.209 news.wsu.edu
95.100.63.90 markey.senate.gov
179.191.169.113 exame.com
216.239.34.21 getoutline.org
188.210.221.86 przewodnicywedkarscy.pl
108.156.83.35 developer.constantcontact.com
185.217.104.158 lookfantastic.com
141.193.213.10 simplemost.com
139.144.188.238 maliknaik.me
34.67.115.217 support.com
54.228.196.38 efta.int
188.114.96.3 markus-lanthaler.com
172.64.150.145 conky.sourceforge.net
173.231.213.208 wataugaonline.com
172.217.18.6 12142664.fls.doubleclick.net
104.22.5.116 magazine.artland.com
104.26.3.172 fakty.com.ua
151.101.1.171 uk.businessinsider.com
188.114.96.3 visitworldheritage.com
172.217.18.6 9849920.fls.doubleclick.net
172.66.43.180 graylog.org
199.60.103.173 userful.com
159.223.147.46 nationalterroralert.com
188.114.96.3 laweekly.com
216.239.36.21 hugoizarra.com
54.239.168.105 techstars.com
151.101.2.132 incubator.apache.org
172.66.40.114 gamezone.com
212.234.22.7 euroairport.com
107.154.247.100 corsair.com
192.16.191.43 cwi.nl
104.21.2.132 matrix.to
134.60.1.22 uni-ulm.de
23.100.43.208 jonesday.com
35.234.135.3 blogs.nature.com
185.199.109.153 jupyter.org
172.67.73.2 fangoria.com
172.67.134.43 twotwentyone.net
130.209.16.93 gla.ac.uk
23.227.38.65 adventure-journal.com
67.225.176.108 namely.com
142.250.185.206 productexperts.withgoogle.com
51.137.18.253 kone.com
174.138.126.24 fashiontv.com
3.228.71.230 fallmeeting.agu.org
54.185.130.169 livescribe.com
142.250.186.70 8358039.fls.doubleclick.net
82.97.136.101 boerse-frankfurt.de
23.227.38.65 dvf.com
142.250.67.134 11139322.fls.doubleclick.net
217.114.94.2 sintef.no
58.138.171.28 imaging.nikon.com
198.185.159.144 raicestexas.org
18.233.116.205 panelpicker.sxsw.com
49.12.165.174 newinchess.com
93.174.10.103 westerntelegraph.co.uk
146.148.110.244 commerce.net
142.250.185.230 11560730.fls.doubleclick.net
134.67.99.178 nepis.epa.gov
151.101.192.64 piriform.com
151.101.130.216 history.co.uk
13.37.9.116 gemalto.com
194.232.43.121 science.apa.at
108.158.46.18 reference.bahai.org
141.193.213.10 welldoc.com
134.209.93.128 manifesta10.org
108.139.182.58 gympass.com
35.214.103.112 garyjones.io
20.40.202.0 cmich.edu
35.168.234.93 fitsugar.com
213.186.33.5 adways.com
216.235.194.195 nasonline.org
104.21.87.88 helicontech.com
52.14.114.39 parkwhiz.com
35.208.129.246 ff2media.com
130.68.5.22 montclair.edu
188.114.96.3 palwatch.org
52.167.31.57 trekbikes.com
34.98.82.31 nobroker.in
209.237.226.92 hyperreal.org
169.235.128.50 ucr.edu
2.16.164.107 siepr.stanford.edu
104.18.125.228 sallybeauty.com
207.24.42.50 relx.com
188.114.96.0 coloradopolitics.com
45.60.45.141 boatus.com
174.34.56.78 allstarpics.net
142.250.186.65 camgirlscammodels.blogspot.com
142.250.76.134 8254309.fls.doubleclick.net
40.122.75.249 utswmed.org
34.74.254.27 visitphoenix.com
43.245.43.58 une.edu.au
18.192.231.252 redhotchilipeppers.com
172.67.129.31 laze.net
172.217.18.6 8522958.fls.doubleclick.net
64.34.182.211 virtualglobetrotting.com
147.92.146.246 news.livedoor.com
20.85.172.21 asa.scitation.org
151.101.192.194 harrypotter.wikia.com
199.34.228.53 slotmitosbet61.weebly.com
141.193.213.10 skincancer.org
104.22.16.79 ingenico.com
18.245.31.8 communication.aver.com
199.134.75.32 choosemyplate.gov
13.107.213.70 dmca.com
185.199.110.153 svgco.de
188.114.96.3 prestoplayer.com
52.92.201.201 csis-prod.s3.amazonaws.com
23.213.161.201 margriet.nl
34.204.55.14 stackadapt.com
141.193.213.20 claremont.org
43.245.43.101 facs.nsw.gov.au
193.48.96.10 hal-lirmm.ccsd.cnrs.fr
108.138.7.87 support.sugarcrm.com
130.211.117.171 ethanzuckerman.com
143.205.180.80 aau.at
142.250.186.65 cojhtb.blogspot.com
23.11.206.83 investors-corner.bnpparibas-am.com
18.65.148.59 useloom.com
138.113.149.153 finance.people.com.cn
142.251.132.6 10630672.fls.doubleclick.net
159.203.157.86 pem.org
13.32.27.48 wowza.com
52.177.206.73 avalon.law.yale.edu
35.185.44.232 docs.gitlab.com
69.16.192.217 digwp.com
188.114.96.0 dvdtalk.com
142.250.186.70 9161809.fls.doubleclick.net
104.18.119.19 okcupid.com
141.193.213.21 humanrightsfirst.org
129.43.254.224 wiki.nci.nih.gov
54.209.106.80 airbnb.com.au
18.245.31.69 living.corriere.it
185.199.109.153 pytorch.org
141.193.213.20 scaquarium.org
34.98.96.93 travelnoire.com
188.114.96.3 eurovisionworld.com
142.250.185.230 10083182.fls.doubleclick.net
104.26.8.51 realityblurb.com
128.30.2.128 theory.lcs.mit.edu
151.101.2.133 bestfriends.org
35.173.160.135 securelist.com
199.34.228.53 joker123-36.weebly.com
104.18.19.14 matrox.com
104.207.230.167 womensmediacenter.com
104.21.83.152 justicepolicy.org
142.250.185.230 9507558.fls.doubleclick.net
157.240.16.16 mobile.facebook.com
128.32.244.190 aima.cs.berkeley.edu
142.250.67.134 11158111.fls.doubleclick.net
216.25.208.100 trimet.org
34.233.9.163 blog.kaspersky.com
99.83.250.163 osu.edu
164.90.244.231 ben.lobaugh.net
79.125.14.100 vk.ovg.ox.ac.uk
213.211.34.110 phoca.cz
185.199.111.153 youmightnotneedjquery.com
89.252.183.67 klasikhoca.com
151.101.193.164 roomfordebate.blogs.nytimes.com
65.254.244.120 ipage.com
173.201.254.84 simplebits.com
208.86.224.90 textfiles.com
172.67.41.55 pagina12.com.ar
193.60.236.19 blog.openstreetmap.org
140.180.220.33 election.princeton.edu
141.193.213.10 snobette.com
95.217.192.241 edsm.net
20.62.145.128 sigmaxi.org
89.145.161.181 footmercato.net
51.195.151.70 neil.fraser.name
104.16.135.231 ihop.com
100.20.194.206 trans-siberian.com
164.106.55.207 tcc.edu
104.26.1.97 businesscloud.co.uk
3.33.152.147 ediblebajaarizona.com
13.226.2.93 news4sanantonio.com
142.250.218.177 surveys.google.com
3.221.251.66 onthemedia.org
151.101.194.216 soas.ac.uk
142.250.185.230 8188202.fls.doubleclick.net
3.126.201.134 panda.org
172.64.152.5 mmbr.asm.org
35.175.25.114 gosquared.com
142.250.186.70 10438618.fls.doubleclick.net
75.2.60.5 openwebdocs.org
104.21.57.10 geopoliticalmonitor.com
151.101.2.137 verywellhealth.com
185.199.109.153 civic.mit.edu
104.21.71.187 gamewright.com
3.141.180.165 ohioline.osu.edu
217.19.225.103 ohdear.app
18.245.31.65 espn.com.au
192.0.78.25 textslashplain.com
151.101.2.137 code.jquery.com
23.185.0.2 usccb.org
104.21.72.170 afrinik.com
192.0.78.249 erzat.blog
65.254.242.180 mydomain.com
104.26.15.47 aerobis.com
185.113.25.34 linuxuser.co.uk
199.167.201.199 dynamicdrive.com
66.22.84.27 hidabroot.org
54.91.6.89 hdsr.mitpress.mit.edu
172.67.210.171 powerfortunes.com
192.0.66.2 publicaffairsbooks.com
